,user_ID,group_ID,runtime,container0,container1,container2
21267,72,72,12.0,0.5,0.69315,2.0
21268,72,72,12.0,0.5,0.69315,2.0
21269,72,72,124.0,0.16667,1.79176,6.0
21270,72,72,12.0,0.5,0.69315,2.0
21271,72,72,1.0,1.0,0.0,1.0
21272,72,72,65.0,1.0,0.0,1.0
21274,72,72,3.0,1.0,0.0,1.0
21275,72,72,10.0,0.1,2.30259,10.0
21276,72,72,35.0,0.1,2.30259,10.0
21277,72,72,118.0,0.1,2.30259,10.0
21278,72,72,191.0,0.1,2.30259,10.0
21279,72,72,14.0,1.0,0.0,1.0
21283,72,72,430.0,0.5,0.69315,2.0
21284,72,72,17.0,1.0,0.0,1.0
21297,86,87,129.0,0.00195,6.23832,512.0
21303,89,90,6569.0,0.005,5.29832,200.0
21305,102,103,7516.0,0.01,4.60517,100.0
21306,45,45,6504.0,1.0,0.0,1.0
21310,23,23,12920.0,1.0,0.0,1.0
21313,127,176,25.0,1.0,0.0,1.0
21315,104,105,47967.0,0.0625,2.77259,16.0
21317,100,101,5198.0,0.07143,2.63906,14.0
21318,89,90,8309.0,0.16667,1.79176,6.0
21319,89,90,8315.0,0.16667,1.79176,6.0
21322,89,90,8360.0,0.16667,1.79176,6.0
21323,106,107,1961.0,0.00581,5.14749,172.0
21324,93,94,78.0,0.04545,3.09104,22.0
21325,46,46,43960.0,0.00311,5.77455,322.0
21326,93,94,95.0,0.01163,4.45435,86.0
21330,100,101,487.0,0.07143,2.63906,14.0
21331,86,87,57002.0,0.00195,6.23832,512.0
21332,106,107,2282.0,0.00581,5.14749,172.0
21333,106,107,3098.0,0.00581,5.14749,172.0
21334,86,87,436.0,0.02326,3.7612,43.0
21335,72,72,4.0,0.25,1.38629,4.0
21336,72,72,9.0,0.5,0.69315,2.0
21337,72,72,10.0,1.0,0.0,1.0
21338,72,72,20.0,0.1,2.30259,10.0
21339,72,72,1.0,1.0,0.0,1.0
21340,72,72,3.0,1.0,0.0,1.0
21341,72,72,55.0,0.16667,1.79176,6.0
21342,72,72,5.0,0.1,2.30259,10.0
21343,72,72,10.0,1.0,0.0,1.0
21344,72,72,11.0,0.5,0.69315,2.0
21345,72,72,2.0,0.2,1.60944,5.0
21346,72,72,74.0,0.1,2.30259,10.0
21347,72,72,14.0,0.1,2.30259,10.0
21348,72,72,10.0,1.0,0.0,1.0
21349,72,72,10.0,1.0,0.0,1.0
21350,72,72,11.0,1.0,0.0,1.0
21351,72,72,190.0,0.5,0.69315,2.0
21352,72,72,10.0,0.5,0.69315,2.0
21353,72,72,10.0,1.0,0.0,1.0
21354,72,72,10.0,0.5,0.69315,2.0
21355,72,72,10.0,0.5,0.69315,2.0
21356,72,72,10.0,0.5,0.69315,2.0
21357,72,72,10.0,0.5,0.69315,2.0
21358,72,72,31.0,1.0,0.0,1.0
21359,72,72,68.0,1.0,0.0,1.0
21360,72,72,1.0,1.0,0.0,1.0
21361,89,90,57414.0,0.005,5.29832,200.0
21367,89,90,28692.0,0.00521,5.2575,192.0
21370,104,105,53818.0,0.00556,5.19296,180.0
21371,104,105,26119.0,0.02,3.91202,50.0
21372,89,90,30691.0,0.00521,5.2575,192.0
21373,86,87,21252.0,0.03125,3.46574,32.0
21374,89,90,30962.0,0.00521,5.2575,192.0
21378,106,107,3276.0,0.00581,5.14749,172.0
21379,106,107,2130.0,0.00581,5.14749,172.0
21381,106,107,4006.0,0.00581,5.14749,172.0
21384,174,175,254.0,0.002,6.21461,500.0
21388,104,105,42425.0,0.0625,2.77259,16.0
21393,23,23,372.0,0.005,5.29832,200.0
21396,23,23,9399.0,1.0,0.0,1.0
21397,174,175,7207.0,0.002,6.21461,500.0
21398,174,175,50.0,0.0025,5.99146,400.0
21401,23,23,8228.0,1.0,0.0,1.0
21402,23,23,10.0,1.0,0.0,1.0
21403,23,23,13.0,1.0,0.0,1.0
21405,23,23,9.0,1.0,0.0,1.0
